City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hamilton,US,39.1834,-84.5333,48.58,50,1,1.01,clear sky
80,Nexo,DK,55.0607,15.1306,39.29,94,100,16.89,overcast clouds
81,Klaksvik,FO,62.2266,-6.589,43.72,73,100,18.41,overcast clouds
82,Barrow,US,71.2906,-156.7887,-9.38,70,1,13.8,clear sky
83,Avarua,CK,-21.2078,-159.775,77.05,83,75,4.61,light rain
84,Talnakh,RU,69.4865,88.3972,-20.79,88,100,1.74,overcast clouds
85,Moron,AR,-34.6534,-58.6198,81.01,59,89,1.99,overcast clouds
86,Envira,BR,-7.3,-70.2167,82.15,86,86,5.64,overcast clouds
87,Tiksi,RU,71.6872,128.8694,-17.43,100,100,2.21,overcast clouds
88,Bridlington,GB,54.0831,-0.1919,54.28,90,41,15.75,scattered clouds
89,Kerchevskiy,RU,59.946,56.2884,2.52,96,93,3.8,overcast clouds
90,Micheweni,TZ,-4.9667,39.8333,79.27,83,73,10.25,light rain
91,Saskylakh,RU,71.9167,114.0833,-44.9,100,69,3.44,broken clouds
92,Hobart,AU,-42.8794,147.3294,51.26,85,6,1.01,clear sky
93,Touros,BR,-5.1989,-35.4608,88.7,61,16,15.41,few clouds
94,Chimbote,PE,-9.0853,-78.5783,72.7,70,63,11.7,broken clouds
95,Slave Lake,CA,55.2834,-114.769,8.58,85,75,0.0,broken clouds
96,Longyearbyen,SJ,78.2186,15.6401,31.84,74,75,18.41,light snow
97,Bengkulu,ID,-3.8004,102.2655,75.61,90,100,3.89,light rain
98,Harrison,US,30.4091,-89.0436,57.31,50,1,8.05,clear sky
99,Port Alfred,ZA,-33.5906,26.891,71.06,88,78,12.03,broken clouds
100,Hanstholm,DK,57.1167,8.6167,40.75,94,100,3.62,overcast clouds
101,Abha,SA,18.2164,42.5053,55.22,30,0,5.75,clear sky
102,Champasak,LA,14.75,106.0,67.42,76,69,2.42,broken clouds
103,Mar Del Plata,AR,-38.0023,-57.5575,71.87,85,100,8.99,overcast clouds
104,Atar,MR,20.5169,-13.0499,81.28,11,51,8.84,broken clouds
105,Hithadhoo,MV,-0.6,73.0833,81.14,78,100,10.54,overcast clouds
106,Fortuna,US,40.5982,-124.1573,50.94,74,40,1.99,light rain
107,Lebu,CL,-37.6167,-73.65,58.19,57,6,9.86,clear sky
108,Kirakira,SB,-10.4544,161.9205,81.39,85,100,12.84,overcast clouds
109,Hilo,US,19.7297,-155.09,75.27,21,11,5.19,few clouds
110,Nemuro,JP,43.3236,145.575,40.96,63,58,25.75,broken clouds
111,Solwezi,ZM,-12.1688,26.3894,71.29,45,64,3.33,broken clouds
112,Necochea,AR,-38.5473,-58.7368,71.04,56,100,16.75,overcast clouds
113,Guerrero Negro,MX,27.9769,-114.0611,66.07,46,7,5.68,clear sky
114,Puerto Ayora,EC,-0.7393,-90.3518,80.56,93,99,5.99,overcast clouds
115,Burnie,AU,-41.0667,145.9167,54.46,81,86,12.39,overcast clouds
116,Port Hedland,AU,-20.3167,118.5667,84.25,84,2,6.91,clear sky
117,Denpasar,ID,-8.65,115.2167,80.26,94,75,3.44,broken clouds
118,Gamba,GA,-2.65,10.0,76.26,92,100,1.19,overcast clouds
119,Kastamonu,TR,41.5,33.6667,42.91,64,0,2.06,clear sky
120,Port Hardy,CA,50.6996,-127.4199,38.75,100,90,8.05,light shower snow
121,Leningradskiy,RU,69.3833,178.4167,-31.9,92,8,3.47,clear sky
122,Sao Felix Do Xingu,BR,-6.6447,-51.995,81.37,85,99,3.67,overcast clouds
123,Naze,JP,28.3667,129.4833,62.58,67,48,17.16,scattered clouds
124,Nikolskoye,RU,59.7035,30.7861,23.4,97,98,5.64,light snow
125,Viedma,AR,-40.8135,-62.9967,78.89,16,70,21.83,broken clouds
126,Yellowknife,CA,62.456,-114.3525,10.42,92,100,10.0,overcast clouds
127,Jutai,BR,-5.1833,-68.9,80.1,91,93,3.2,light rain
128,Castelldefels,ES,41.2779,1.9703,57.06,78,0,5.75,clear sky
129,Srednekolymsk,RU,67.45,153.6833,-43.53,99,97,3.42,overcast clouds
